Norm	Abmessung	Antrieb	Festigkeit	Oberfläche
DIN 933	M4,0x20		Sechskant	8.8	galvanisch verzinkt
Holzschraube	3,0x16	TX	A2	
DIN 934	M4,0	Sechskant		galvanisch verzinkt
